prompt,question,students_answer,categories,grade1_rating,grader2_rating,grader1_categories,grader2_categories,model_categories,acceptable,weight_score,llm_rating,number,grader1_comment
"<i><blockquote><h3>Showing Gratitude</h3><h4>Part 1</h4><p margin=0>You work in a warehouse. While organizing inventory, you overhear a conversation between <b>SrA Johnson</b> (your friend and coworker) and <b>1<sup>st</sup>Lt Franco</b> (your leader). At first, the conversation seems like normal business talk, but soon the tone changes. <ol><div style=""list-style-type:none""><b>SrA Johnson:</b> If I fail this review, then I don't get a promotion, and I'll be reassigned OCONUS. </div> <ol><div style=""list-style-type:none""><b> 1<sup>st</sup>Lt Franco:</b> I hear you, Johnson, but sometimes, it's not just about the work. There are... other ways to get ahead around here. You know what I mean? </div></ol> <div style=list-style-type:none><b>SrA Johnson:</b> No, what do you mean?</div><ol> <div style=""list-style-type:none""><b> 1<sup>st</sup>Lt Franco:</b> Listen, I've got influence around here. I can pull some strings to move you up the ranks, but you'd need to... show me some gratitude. This is just how things are done around here.</div></ol> <div style=list-style-type:none><b>SrA Johnson:</b> It sounds like you're suggesting…</div><ol> <div style=""list-style-type:none""><b> 1<sup>st</sup>Lt Franco (cuts him off):</b> Look, you're a smart guy, Johnson. I know what you want, and you know what I want. We can make an arrangement that helps us both get “a head”. </div></ol></ol></blockquote></i><h4>Part 2 - Scroll to continue reading</h4>You're still processing what you overheard. <b>1<sup>st</sup>Lt Franco's</b> offer about ""showing gratitude"" in exchange for a promotion seems coercive, but you're unsure whether to intervene. <b>1<sup>st</sup>Lt Franco</b> is influential within the team and a higher rank than you and <b>SrA Johnson</b>. You're worried that saying something could cause serious professional consequences. <br><br>Even though <b>SrA Johnson</b> is gay, <b>1<sup>st</sup>Lt Franco</b> is a total “ladies' man”, so it's hard to picture him asking <b>SrA Johnson</b> for sexual favors. Plus, you were eavesdropping. Maybe you didn't hear things correctly?<br><br>There's also the issue of <b>SrA Johnson's</b> role in all this. Maybe he doesn't feel pressured or coerced? After all, <b>SrA Johnson</b> didn't speak up or reject <b>1<sup>st</sup>Lt Franco's</b> offer. Maybe <b>SrA Johnson</b> is cool with it? Saying something to <b>SrA Johnson</b> would be awkward if you're wrong, and you not even sure what you'd say. <br><br>Either way, this is definitely none of your business. Still, you can't shake the feeling that <b>1<sup>st</sup>Lt Franco's</b> behavior is crossing a line.    ",Imagine you decide the best course of action is to say something directly to either SrA Johnson or 1stLt Franco. Who do you speak to and what do you say?,"I would pull Lt Franco aside and explain that no matter if it is consensual, it is unprofessional.  I would also speak with SrA Johnson to discuss their feelings.", Check In with the Person Targeted | Delegate | Distract | Document | Encourage Resources or Next Steps | Escalate conflict | Excusing perpetrator behavior | Express Disapproval or Disagreement  | Name or Call Out the Behavior  | Offer Emotional Support and Validation | Protect or Support the Person Targeted  | Question or Challenge the Behavior  | Redirect or Refocus on Professionalism | Share a Perspective or Story to Reframe the Issue | Victim blaming ,,,,,Express Disapproval or Disagreement,,1,0.85,5,
"<h3>A Private Conversation</h3><h4>Part 1</h4><p margin=0>You are stationed at a military base working with <b>SSgt Quinn</b>, <b>Amn James</b>, and <b>Amn Brown</b>. You notice <b>SSgt Quinn</b> and <b>Amn James</b> step into the hallway for a private conversation. At first, it seems like normal work talk, until you overhear <b>SSgt Quinn's</b> comment. <ol><div style=list-style-type:none><b>SSgt Quinn (to Amn James):</b> I am a sexual being. Some things cannot be controlled.  </div><ol><div style=list-style-type:none><i>Amn James laughs nervously at SSgt Quinn. </i></ol></ol>The exchange sounds off, but you're on a deadline, so you ask <b>Amn Brown</b> to check on things. <b>Amn Brown</b> steps out into the hall when you hear a struggle, presumably between <b>SSgt Quinn</b> and <b>Amn James</b>. <b>Amn Brown</b> returns to say: <ol> <div style=list-style-type:none><b>Amn Brown (to you):</b> I don't know what exactly happened, but <b>SSgt Quinn</b> pinned <b>Amn James</b> against the wall and grabbed his crotch. He pushed her away, and <b>SSgt Quinn</b> walked off like it was nothing!</div></ol>",Active bystanders are motivated to take responsibility in risky situations. What is one positive outcome that could result when a bystander intervenes in situations like this?,"The assaulted member would know that his coworkers have his back and will not stand for inappropriate behaviors, and people like Quinn will not continuously get away with harrassing others.", Building Bystander Skills & Confidence  | Bystander Avoidance / Diffusion of Responsibility | Changing Perpetrator Behavior & Attitudes | Cultural or Peer-Norm Justification | Fear of Negative Consequences (Social / Professional) | Inspiring Collective Action | Lack of Confidence / Learned Helplessness | Minimizing or Dismissing Harm | Perpetrator-Excusing | Preventing Future Harms | Protecting Teams | Recognition and Rewards for the Bystander | Shaping Norms & Culture Change | Supporting the Victim | Victim-blaming ,,,,,Building Bystander Skills & Confidence,,0.5,0.85,3,
"<i><blockquote><h3>A Private Conversation</h3><h4>Part 1</h4><p margin=0>You are stationed at a military base working with <b>SSgt Quinn</b>, <b>Amn James</b>, and <b>Amn Brown</b>. You notice <b>SSgt Quinn</b> and <b>Amn James</b> step into the hallway for a private conversation. At first, it seems like normal work talk, until you overhear <b>SSgt Quinn's</b> comment. <ol><div style=list-style-type:none><b>SSgt Quinn (to Amn James):</b> I am a sexual being. Some things cannot be controlled.  </div><ol><div style=list-style-type:none><i>Amn James laughs nervously at SSgt Quinn. </i></ol></ol>The exchange sounds off, but you're on a deadline, so you ask <b>Amn Brown</b> to check on things. <b>Amn Brown</b> steps out into the hall when you hear a struggle, presumably between <b>SSgt Quinn</b> and <b>Amn James</b>. <b>Amn Brown</b> returns to say: <ol> <div style=list-style-type:none><b>Amn Brown (to you):</b> I don't know what exactly happened, but <b>SSgt Quinn</b> pinned <b>Amn James</b> against the wall and grabbed his crotch. He pushed her away, and <b>SSgt Quinn</b> walked off like it was nothing!</div></ol></blockquote></i><h4>Part 2 - Scroll to continue reading </h4>Just then, <b>Amn James</b> returns to the workspace, visibly shaken. <ol> <div style=list-style-type:none><b>Amn James (to Adm Brown):</b> You ok, man?</div> <div style=list-style-type:none><b>Amn Brown (to Amn James and you):</b> I'm fine. I'm taking my lunch break now.</div><ol><div style=list-style-type:none><i>Amn James leaves the room.</i> </ol> <div style=list-style-type:none><b>Amn Brown (to you):</b> Dude, no one's going to believe a guy got assaulted by a woman.</div></ol>You didn't directly witness what happened and you're not sure what to do. You want to help, but the situation seems resolved after both <b>SSgt Quinn</b> and <b>Amn Brown</b> left the workplace.<br><br>Although <b>Amn James</b> looked upset, if he wanted to talk about it, he could have said something when <b>Amn Brown</b> asked if he was ok. You aren't even sure you'd say to <b>Amn James</b> if he was still here.","Active bystanders decide how to act in a risky situation based on what they know about a situation and the people involved. After reading part 2 of the scenario, identify two acceptable ways to respond in this situation.","Talk to Amn James and find out what happened, and offer to report her together. You could also say something to SSgt Quinn and ask what that was about.", Avoidant | Delay | Delegate | Direct | Distract | Document | Hostile Confrontation ,,,,,Delay Direct,,1,0.85,4,
"<i><blockquote><h3>Date Night</h3><h4>Part 1</h4><p margin=0>You and your partner are on a double date with another military couple: your co-worker and friend, <b>SPC4 Blackwell</b>, and his new girlfriend, <b>Celeste</b>. The evening is light and fun, and the food is delicious! <br><br> When <b>Celeste</b> heads to the restroom, you ask <b>Blackwell</b> about his new relationship. <ol><div style=list-style-type:none><b>You:</b> You finally got <b>Celeste</b> to go on a date with you, huh? Lucky devil. How are things going? </div> <div style=list-style-type:none><b>Blackwell:</b> It's great. <b>Celeste</b> is amazing. Smart. Hot. My only complaint: She can be so uptight. I wish she'd loosen up. Good thing they make pills for that, ha! </div></ol>You and your partner force a strained laugh, just as <b>Blackwell</b> orders another drink for <b>Celeste</b>, but not for himself. <br><br>You excuse yourself to go to the restroom. As <b>Blackwell</b> moves to let you pass by, something drops from his pocket with a clink. It's a pill bottle. You slyly kick the pill bottle down the hall and pick it up. The unmarked bottle looks like it contains a sedative, possibly something that could be used to ""loosen someone up”.</blockquote></i><h4>Part 2 - Scroll to continue reading</h4>The whole situation has taken you by surprise. Your mind races with doubts and disbelief that <b>Blackwell</b> would drug his girlfriend:<ol> <div style=list-style-type:none><i>What if I'm overreacting? It's probably just <b>Blackwell's</b> meds. Of course he's only kidding, right? He's always making jokes. <b>Blackwell</b> would never do something like that. No way.</i> </div></ol> Just then, <b>your partner</b> comes up behind you and says: <ol> <div style=list-style-type:none><b>Your partner (to you):</b> It was a pill bottle, wasn't it? <b>Blackwell's</b> awkward comment freaked me out. Who says that?! <b>Celeste</b> is still in the bathroom. What should we do?   </div></ol>You don't have much of a relationship with <b>Celeste</b> and you don't want to overstep, especially since she didn't hear <b>Blackwell</b> say that she needs to loosen up with pills. Plus, you just met <b>Celeste</b>, and she might not listen to you anyway. <br><br>You're in a nice restaurant filled with other people and don't want to cause a scene by saying something to him to create unnecessary tension between <b>Blackwell</b> and you at work.","Active bystanders decide how to act in a risky situation based on what they know about a situation and the people involved. After reading part 2 of the scenario, identify two acceptable ways to respond in this situation.",Get Celeste and assist her home with a fellow female. Tell Blackwell that  his behavior is not becoming of an Airman and he better re-think his words and actions., Avoidant | Delay | Delegate | Direct | Distract | Document | Hostile Confrontation ,,,,,Delegate Direct,,1,0.85,4,
"<h3>My Roommate's Arrest</h3><h4>Part 1</h4><p margin=0>You're grabbing lunch with a group of friends—<b>Jordan</b>, <b>Alex</b>, and <b>Jamie</b>. The conversation turns to current events after Jordan brings up a headline in the news. <ol><div style=""list-style-type:none""><b>Jordan:</b> Hey, did you guys hear that my former roommate was arrested last night?! Crazy, right? </div> <ol><div div style=""list-style-type:none""><b>You:</b> No way! What happened? </div> </ol><div style=list-style-type:none><b>Jordan:</b> Apparently, my old roommate was at a party. This drunk chick starts dancing all close and coming on strong, you know? Well, they went back to his room and had sex. Three days later, she went to the police saying it was sexual assault.</div> <div style=list-style-type:none><b>Alex:</b> That's so messed up. You can't just change your mind like that. Sounds like another female who regrets her bad decisions.</div> <div style=list-style-type:none><b>Jamie:</b> Yeah, what's up with girls getting trashed, hanging all over guys, and then crying rape? I mean, if she didn't want it, why did she let him take her to a room?</div>    ",Active bystanders are motivated to take responsibility in risky situations. What is one positive outcome that could result when a bystander intervenes in situations like this?,"I think her roommates friends could have been bystanders. There is strength in numbers. If her roommates went solo and drank, it's okay to do but not always the wisest decision because people can drug your drinks so if you don't have a friend there to watch your drink or stay close by, it runs the risk of you being drugged or sexually assaulted. I think if her friend were there or even a stranger they could intervene to the guy and be like your friends are looking for you and then someone else could be like to the woman lets get you home.", Building Bystander Skills & Confidence  | Bystander Avoidance / Diffusion of Responsibility | Changing Perpetrator Behavior & Attitudes | Cultural or Peer-Norm Justification | Fear of Negative Consequences (Social / Professional) | Inspiring Collective Action | Lack of Confidence / Learned Helplessness | Minimizing or Dismissing Harm | Perpetrator-Excusing | Preventing Future Harms | Protecting Teams | Recognition and Rewards for the Bystander | Shaping Norms & Culture Change | Supporting the Victim | Victim-blaming ,,,,,Inspiring Collective Action,,1,0.85,3,
"<i><blockquote><h3>Showing Gratitude</h3><h4>Part 1</h4><p margin=0>You work in a warehouse. While organizing inventory, you overhear a conversation between <b>SrA Johnson</b> (your friend and coworker) and <b>1<sup>st</sup>Lt Franco</b> (your leader). At first, the conversation seems like normal business talk, but soon the tone changes. <ol><div style=""list-style-type:none""><b>SrA Johnson:</b> If I fail this review, then I don't get a promotion, and I'll be reassigned OCONUS. </div> <ol><div style=""list-style-type:none""><b> 1<sup>st</sup>Lt Franco:</b> I hear you, Johnson, but sometimes, it's not just about the work. There are... other ways to get ahead around here. You know what I mean? </div></ol> <div style=list-style-type:none><b>SrA Johnson:</b> No, what do you mean?</div><ol> <div style=""list-style-type:none""><b> 1<sup>st</sup>Lt Franco:</b> Listen, I've got influence around here. I can pull some strings to move you up the ranks, but you'd need to... show me some gratitude. This is just how things are done around here.</div></ol> <div style=list-style-type:none><b>SrA Johnson:</b> It sounds like you're suggesting…</div><ol> <div style=""list-style-type:none""><b> 1<sup>st</sup>Lt Franco (cuts him off):</b> Look, you're a smart guy, Johnson. I know what you want, and you know what I want. We can make an arrangement that helps us both get “a head”. </div></ol></ol></blockquote></i><h4>Part 2 - Scroll to continue reading</h4>You're still processing what you overheard. <b>1<sup>st</sup>Lt Franco's</b> offer about ""showing gratitude"" in exchange for a promotion seems coercive, but you're unsure whether to intervene. <b>1<sup>st</sup>Lt Franco</b> is influential within the team and a higher rank than you and <b>SrA Johnson</b>. You're worried that saying something could cause serious professional consequences. <br><br>Even though <b>SrA Johnson</b> is gay, <b>1<sup>st</sup>Lt Franco</b> is a total “ladies' man”, so it's hard to picture him asking <b>SrA Johnson</b> for sexual favors. Plus, you were eavesdropping. Maybe you didn't hear things correctly?<br><br>There's also the issue of <b>SrA Johnson's</b> role in all this. Maybe he doesn't feel pressured or coerced? After all, <b>SrA Johnson</b> didn't speak up or reject <b>1<sup>st</sup>Lt Franco's</b> offer. Maybe <b>SrA Johnson</b> is cool with it? Saying something to <b>SrA Johnson</b> would be awkward if you're wrong, and you not even sure what you'd say. <br><br>Either way, this is definitely none of your business. Still, you can't shake the feeling that <b>1<sup>st</sup>Lt Franco's</b> behavior is crossing a line.    ","Active bystanders decide how to act in a risky situation based on what they know about a situation and the people involved. After reading part 2 of the scenario, identify two acceptable ways to respond in this situation.",there's always a supervisor above 1stLt Franco. you can report him to the supervisor. Just go above the chain of command. Check in with SrA Johnson. Make sure he is okay. Suggest SAPR., Avoidant | Delay | Delegate | Direct | Distract | Document | Hostile Confrontation ,,,,,Delegate Delay,,1,0.85,4,
"<i><blockquote><h3>A Private Conversation</h3><h4>Part 1</h4><p margin=0>You are stationed at a military base working with <b>SSgt Quinn</b>, <b>Amn James</b>, and <b>Amn Brown</b>. You notice <b>SSgt Quinn</b> and <b>Amn James</b> step into the hallway for a private conversation. At first, it seems like normal work talk, until you overhear <b>SSgt Quinn's</b> comment. <ol><div style=list-style-type:none><b>SSgt Quinn (to Amn James):</b> I am a sexual being. Some things cannot be controlled.  </div><ol><div style=list-style-type:none><i>Amn James laughs nervously at SSgt Quinn. </i></ol></ol>The exchange sounds off, but you're on a deadline, so you ask <b>Amn Brown</b> to check on things. <b>Amn Brown</b> steps out into the hall when you hear a struggle, presumably between <b>SSgt Quinn</b> and <b>Amn James</b>. <b>Amn Brown</b> returns to say: <ol> <div style=list-style-type:none><b>Amn Brown (to you):</b> I don't know what exactly happened, but <b>SSgt Quinn</b> pinned <b>Amn James</b> against the wall and grabbed his crotch. He pushed her away, and <b>SSgt Quinn</b> walked off like it was nothing!</div></ol></blockquote></i><h4>Part 2 - Scroll to continue reading </h4>Just then, <b>Amn James</b> returns to the workspace, visibly shaken. <ol> <div style=list-style-type:none><b>Amn James (to Adm Brown):</b> You ok, man?</div> <div style=list-style-type:none><b>Amn Brown (to Amn James and you):</b> I'm fine. I'm taking my lunch break now.</div><ol><div style=list-style-type:none><i>Amn James leaves the room.</i> </ol> <div style=list-style-type:none><b>Amn Brown (to you):</b> Dude, no one's going to believe a guy got assaulted by a woman.</div></ol>You didn't directly witness what happened and you're not sure what to do. You want to help, but the situation seems resolved after both <b>SSgt Quinn</b> and <b>Amn Brown</b> left the workplace.<br><br>Although <b>Amn James</b> looked upset, if he wanted to talk about it, he could have said something when <b>Amn Brown</b> asked if he was ok. You aren't even sure you'd say to <b>Amn James</b> if he was still here.",Imagine you decide the best course of action is to say something directly to Amn James. What do you say?,"I would first ask if he would like to talk about the situation-once we speak, ask in what ways can I support you as well as go with him to report the situation", Check In with the Person Targeted | Delegate | Distract | Document | Encourage Resources or Next Steps | Escalate conflict | Excusing perpetrator behavior | Express Disapproval or Disagreement  | Name or Call Out the Behavior  | Offer Emotional Support and Validation | Protect or Support the Person Targeted  | Question or Challenge the Behavior  | Redirect or Refocus on Professionalism | Share a Perspective or Story to Reframe the Issue | Victim blaming ,,,,,Encourage Resources or Next Steps,,1,0.85,5,
"<i><blockquote><h3>A Private Conversation</h3><h4>Part 1</h4><p margin=0>You are stationed at a military base working with <b>SSgt Quinn</b>, <b>Amn James</b>, and <b>Amn Brown</b>. You notice <b>SSgt Quinn</b> and <b>Amn James</b> step into the hallway for a private conversation. At first, it seems like normal work talk, until you overhear <b>SSgt Quinn's</b> comment. <ol><div style=list-style-type:none><b>SSgt Quinn (to Amn James):</b> I am a sexual being. Some things cannot be controlled.  </div><ol><div style=list-style-type:none><i>Amn James laughs nervously at SSgt Quinn. </i></ol></ol>The exchange sounds off, but you're on a deadline, so you ask <b>Amn Brown</b> to check on things. <b>Amn Brown</b> steps out into the hall when you hear a struggle, presumably between <b>SSgt Quinn</b> and <b>Amn James</b>. <b>Amn Brown</b> returns to say: <ol> <div style=list-style-type:none><b>Amn Brown (to you):</b> I don't know what exactly happened, but <b>SSgt Quinn</b> pinned <b>Amn James</b> against the wall and grabbed his crotch. He pushed her away, and <b>SSgt Quinn</b> walked off like it was nothing!</div></ol></blockquote></i><h4>Part 2 - Scroll to continue reading </h4>Just then, <b>Amn James</b> returns to the workspace, visibly shaken. <ol> <div style=list-style-type:none><b>Amn James (to Adm Brown):</b> You ok, man?</div> <div style=list-style-type:none><b>Amn Brown (to Amn James and you):</b> I'm fine. I'm taking my lunch break now.</div><ol><div style=list-style-type:none><i>Amn James leaves the room.</i> </ol> <div style=list-style-type:none><b>Amn Brown (to you):</b> Dude, no one's going to believe a guy got assaulted by a woman.</div></ol>You didn't directly witness what happened and you're not sure what to do. You want to help, but the situation seems resolved after both <b>SSgt Quinn</b> and <b>Amn Brown</b> left the workplace.<br><br>Although <b>Amn James</b> looked upset, if he wanted to talk about it, he could have said something when <b>Amn Brown</b> asked if he was ok. You aren't even sure you'd say to <b>Amn James</b> if he was still here.","Active bystanders decide how to act in a risky situation based on what they know about a situation and the people involved. After reading part 2 of the scenario, identify two acceptable ways to respond in this situation.",Take Amn James to the side and have a private conversation. Also let Amn Brown know that he can report what he seen and I can report what I heard., Avoidant | Delay | Delegate | Direct | Distract | Document | Hostile Confrontation ,,,,,Delay Delegate,,1,0.85,4,
"<h3>Group Work Chat</h3><h4>Part 1</h4><p margin=0>You are working with <b>SPC2 Jones</b>, <b>SPC2 O'Leary</b>, <b>SPC2 Redman</b>, and <b>CMSgt Lovelace</b>, everyone's superior. As the superior, <b>CMSgt Lovelace</b> set up a group text message for work. It's the end of year, and the team is discussing wrapping up a project when the conversation shifts. <ol><div style=list-style-type:none><b>SPC2 Jones:</b> Check this out. Santa's coming to wrap up our project!! LOL </div><ol><div style=list-style-type:none><i>SPC2 Jones sends a text with a meme of a shirtless Santa holding presents and flexing his biceps and tags CMSgt Lovelace. CMSgt Lovelace “likes” the meme.</i></ol> <div style=list-style-type:none><b>SPC2 O'Leary:</b> I've got something that Santa can wrap up… LOL </div><ol><div style=list-style-type:none><i>CMSgt Lovelace “laughs” at SPC2 O'Leary's message.</i></ol> <div style=list-style-type:none><b>CMSgt Lovelace:</b> C'mon, @Jones, you know that's not appropriate since we're an inclusive workplace ;) Amirite @Redman? </div><ol><div style=list-style-type:none><i>CMSgt Lovelace sends a nude picture of a black Santa and tags SPC2 Redman, who is black.</i></ol> <div style=list-style-type:none><b>SPC2 Redman:</b> Real funny. I don't want to see that. Maybe we shouldn't be sharing stuff like that on a work chat, Ma'am?</div> <div style=list-style-type:none><b>CMSgt Lovelace:</b> Oh, come on, it's just a joke. Don't be so uptight, @Redman.</div> <div style=list-style-type:none><b>SPC2 Jones:</b> Chill out. It's the end of the year, and we're just blowing off steam. </div></ol>",Active bystanders are motivated to take responsibility in risky situations. What is one positive outcome that could result when a bystander intervenes in situations like this?,"It gives support to those who feel uncomfortable in this situation, and it also lets others know that inappropriate behaviors will be called out or that they are not tolerated", Building Bystander Skills & Confidence  | Bystander Avoidance / Diffusion of Responsibility | Changing Perpetrator Behavior & Attitudes | Cultural or Peer-Norm Justification | Fear of Negative Consequences (Social / Professional) | Inspiring Collective Action | Lack of Confidence / Learned Helplessness | Minimizing or Dismissing Harm | Perpetrator-Excusing | Preventing Future Harms | Protecting Teams | Recognition and Rewards for the Bystander | Shaping Norms & Culture Change | Supporting the Victim | Victim-blaming ,,,,,Supporting the Victim,,0.5,0.85,3,
"<i><blockquote><h3>Group Work Chat</h3><h4>Part 1</h4><p margin=0>You are working with <b>SPC2 Jones</b>, <b>SPC2 O'Leary</b>, <b>SPC2 Redman</b>, and <b>CMSgt Lovelace</b>, everyone's superior. As the superior, <b>CMSgt Lovelace</b> set up a group text message for work. It's the end of year, and the team is discussing wrapping up a project when the conversation shifts. <ol><div style=list-style-type:none><b>SPC2 Jones:</b> Check this out. Santa's coming to wrap up our project!! LOL </div><ol><div style=list-style-type:none><i>SPC2 Jones sends a text with a meme of a shirtless Santa holding presents and flexing his biceps and tags CMSgt Lovelace. CMSgt Lovelace “likes” the meme.</i></ol> <div style=list-style-type:none><b>SPC2 O'Leary:</b> I've got something that Santa can wrap up… LOL </div><ol><div style=list-style-type:none><i>CMSgt Lovelace “laughs” at SPC2 O'Leary's message.</i></ol> <div style=list-style-type:none><b>CMSgt Lovelace:</b> C'mon, @Jones, you know that's not appropriate since we're an inclusive workplace ;) Amirite @Redman? </div><ol><div style=list-style-type:none><i>CMSgt Lovelace sends a nude picture of a black Santa and tags SPC2 Redman, who is black.</i></ol> <div style=list-style-type:none><b>SPC2 Redman:</b> Real funny. I don't want to see that. Maybe we shouldn't be sharing stuff like that on a work chat, Ma'am?</div> <div style=list-style-type:none><b>CMSgt Lovelace:</b> Oh, come on, it's just a joke. Don't be so uptight, @Redman.</div> <div style=list-style-type:none><b>SPC2 Jones:</b> Chill out. It's the end of the year, and we're just blowing off steam. </div></ol></blockquote></i><h4>Part 2 - Scroll to continue reading</h4>You've been working with this group for a while and get along with everyone, so you're not sure what to do. You don't want to jeopardize your job or friendships, especially because it's only <b>SPC2 Redman</b> who seems offended. Plus, <b>SPC2 O'Leary</b>, who is gay, wasn't bothered by the images. And while <b>SPC2 Jones</b> started it, you know she probably regrets that the situation got out of hand. <br><br><b>CMSgt Lovelace</b> is usually crass and <b>SPC2 O'Leary</b> has told you before that he's put off by her homophobic jokes. You sense things could resolve on their own because <b>SPC2 Redman</b> mentioned reporting <b>CMSgt Lovelace</b> for her offensive and racist comments.",Imagine you decide the best course of action is to say something directly to everyone in the group chat. What do you say?,"State that I enjoyed working on the project with everyone and appreciate all the efforts, but I am not comfortable with the messaging content and request to be removed now that the project is over. If anyone else needs to talk please don't hesitate to reach out to me directly.", Check In with the Person Targeted | Delegate | Distract | Document | Encourage Resources or Next Steps | Escalate conflict | Excusing perpetrator behavior | Express Disapproval or Disagreement  | Name or Call Out the Behavior  | Offer Emotional Support and Validation | Protect or Support the Person Targeted  | Question or Challenge the Behavior  | Redirect or Refocus on Professionalism | Share a Perspective or Story to Reframe the Issue | Victim blaming ,,,,,Express Disapproval or Disagreement,,1,0.85,5,
"<h3>Dancing at the Club</h3><h4>Part 1</h4><p margin=0>It's Friday night and you're getting drinks with your friends <b>Ken</b> and <b>Megan</b> after work. <b>Jacob</b>, a buddy from high school, walks in and you invite him to hang out with the group.<br><br>Everyone is chatting and getting along. You all decide to go to a second location—a nearby club. The music is loud, everyone's drinking, and the vibe is fun.<br><br><b>Megan</b> and <b>Jacob</b> are hitting it off, and you sense chemistry between them. As the night goes on, <b>Jacob</b> becomes increasingly close to <b>Megan</b>, first by putting his arms around <b>Megan's</b> shoulders, then touching her thighs repeatedly. <b>Megan</b> keeps looking at <b>you</b> and <b>Ken</b>, almost as if she's seeking reassurance, but she never pulls away from <b>Jacob</b>.<br><br><b>Ken</b> notices <b>Megan's</b> body language and leans over to you. <ol><div style=""list-style-type:none""><b>Ken:</b> Hey, do you think <b>Megan's</b> okay with <b>Jacob</b> </div> <ol><div style=""list-style-type:none""><b>You:</b> I'm not sure. They look fine to me. </div></ol> <div style=list-style-type:none><b>Ken:</b> It looks weird to me. <b>Jacob's</b> being really handsy, and <b>Megan</b> doesn't seem into it.</div></ol>    ",Active bystanders are motivated to take responsibility in risky situations. What is one positive outcome that could result when a bystander intervenes in situations like this?,"Megan could have an opportunity to vocalize her feelings about what is happening to her.  If she is uncomfortable, you can step in to assist her.  If she doesn't vocalize it, you can still step in and separate her from him to check in.", Building Bystander Skills & Confidence  | Bystander Avoidance / Diffusion of Responsibility | Changing Perpetrator Behavior & Attitudes | Cultural or Peer-Norm Justification | Fear of Negative Consequences (Social / Professional) | Inspiring Collective Action | Lack of Confidence / Learned Helplessness | Minimizing or Dismissing Harm | Perpetrator-Excusing | Preventing Future Harms | Protecting Teams | Recognition and Rewards for the Bystander | Shaping Norms & Culture Change | Supporting the Victim | Victim-blaming ,,,,,Supporting the Victim,,0.5,0.85,3,
"<h3>A Private Conversation</h3><h4>Part 1</h4><p margin=0>You are stationed at a military base working with <b>SSgt Quinn</b>, <b>Amn James</b>, and <b>Amn Brown</b>. You notice <b>SSgt Quinn</b> and <b>Amn James</b> step into the hallway for a private conversation. At first, it seems like normal work talk, until you overhear <b>SSgt Quinn's</b> comment. <ol><div style=list-style-type:none><b>SSgt Quinn (to Amn James):</b> I am a sexual being. Some things cannot be controlled.  </div><ol><div style=list-style-type:none><i>Amn James laughs nervously at SSgt Quinn. </i></ol></ol>The exchange sounds off, but you're on a deadline, so you ask <b>Amn Brown</b> to check on things. <b>Amn Brown</b> steps out into the hall when you hear a struggle, presumably between <b>SSgt Quinn</b> and <b>Amn James</b>. <b>Amn Brown</b> returns to say: <ol> <div style=list-style-type:none><b>Amn Brown (to you):</b> I don't know what exactly happened, but <b>SSgt Quinn</b> pinned <b>Amn James</b> against the wall and grabbed his crotch. He pushed her away, and <b>SSgt Quinn</b> walked off like it was nothing!</div></ol>",Active bystanders are motivated to take responsibility in risky situations. What is one positive outcome that could result when a bystander intervenes in situations like this?,"Amn James feels protected, safe, and seen.  Amn Brown will know that this type of behavior is absolutely unacceptable.", Building Bystander Skills & Confidence  | Bystander Avoidance / Diffusion of Responsibility | Changing Perpetrator Behavior & Attitudes | Cultural or Peer-Norm Justification | Fear of Negative Consequences (Social / Professional) | Inspiring Collective Action | Lack of Confidence / Learned Helplessness | Minimizing or Dismissing Harm | Perpetrator-Excusing | Preventing Future Harms | Protecting Teams | Recognition and Rewards for the Bystander | Shaping Norms & Culture Change | Supporting the Victim | Victim-blaming ,,,,,Supporting the Victim,,0.5,0.85,3,
